,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words,not_in_vocab_words_count
2220,GG,0.0,0.0,0.0,0.0,0.0,0.0,GG,"[('gg', 'NOUN')]",{'NOUN': 1},gg,NOUN,1.0,gg,1,0,gg,1
2221,hello!,0.0,0.0,0.0,0.0,0.0,0.0,hello!,"[('hello', 'INTJ'), ('!', 'PUNCT')]","{'INTJ': 1, 'PUNCT': 1}",hello,INTJ,1.0,hello,0,1,,0
2222,Welp,0.0,0.0,0.0,0.0,0.0,0.0,Welp,"[('welp', 'INTJ')]",{'INTJ': 1},welp,INTJ,1.0,welp,0,0,welp,1
2223,This has been such a wild session lol,0.0,0.0,0.0,0.0,0.0,0.0,This has been such a wild session lol,"[('this', 'DET'), ('have', 'AUX'), ('be', 'VERB'), ('such', 'DET'), ('a', 'DET'), ('wild', 'ADJ'), ('session', 'NOUN'), ('lol', 'NOUN')]","{'DET': 3, 'AUX': 1, 'VERB': 1, 'ADJ': 1, 'NOUN': 2}",be wild session lol,ADJ NOUN NOUN,1.0,wild session lol,0,0,,0
2224,it's nogla!,0.0,0.0,0.0,0.0,0.0,0.0,it is nogla!,"[('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ'), ('!', 'PUNCT')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1, 'PUNCT': 1}",nogla,ADJ,1.0,nogla,0,1,nogla,1
2225,It’s not Nogla bro,0.0,0.0,0.0,0.0,0.0,0.0,it is not Nogla bro,"[('it', 'PRON'), ('be', 'AUX'), ('not', 'PART'), ('Nogla', 'PROPN'), ('bro', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'PROPN': 1, 'NOUN': 1}",’s not nogla bro,PROPN NOUN,1.0,Nogla bro,0,0,nogla,1
2226,good job Brian,0.0,0.0,0.0,0.0,0.0,0.0,good job Brian,"[('good', 'ADJ'), ('job', 'NOUN'), ('Brian', 'PROPN')]","{'ADJ': 1, 'NOUN': 1, 'PROPN': 1}",good job brian,ADJ NOUN PROPN,1.0,good job Brian,0,0,,0
2227,mario,0.0,0.0,0.0,0.0,0.0,0.0,mario,"[('mario', 'PROPN')]",{'PROPN': 1},mario,PROPN,1.0,mario,0,0,,0
2228,danmmmmmm,0.0,0.0,0.0,0.0,0.0,0.0,danmmmmmm,"[('danmmmmmm', 'PROPN')]",{'PROPN': 1},danmmmmmm,PROPN,1.0,danmmmmmm,0,0,danmmmmmm,1
2229,@Kyree Lovelace number of members,0.0,0.0,0.0,0.0,0.0,0.0,@Kyree Lovelace number of members,"[('@Kyree', 'PROPN'), ('Lovelace', 'PROPN'), ('number', 'NOUN'), ('of', 'ADP'), ('member', 'NOUN')]","{'PROPN': 2, 'NOUN': 2, 'ADP': 1}",@kyree lovelace number member,PROPN PROPN NOUN NOUN,1.0,@Kyree Lovelace number member,0,1,@kyree lovelace number,3
2230,It not nogla,0.0,0.0,0.0,0.0,0.0,0.0,It not nogla,"[('it', 'PRON'), ('not', 'PART'), ('nogla', 'ADV')]","{'PRON': 1, 'PART': 1, 'ADV': 1}",not nogla,ADV,1.0,nogla,0,0,nogla,1
2231,hihihihihihii,0.0,0.0,0.0,0.0,0.0,0.0,hihihihihihii,"[('hihihihihihii', 'PROPN')]",{'PROPN': 1},hihihihihihii,PROPN,1.0,hihihihihihii,0,0,hihihihihihii,1
2232,Nogla,0.0,0.0,0.0,0.0,0.0,0.0,Nogla,"[('Nogla', 'PROPN')]",{'PROPN': 1},nogla,PROPN,1.0,Nogla,0,0,nogla,1
2233,that was quick,0.0,0.0,0.0,0.0,0.0,0.0,that was quick,"[('that', 'DET'), ('be', 'AUX'), ('quick', 'ADJ')]","{'DET': 1, 'AUX': 1, 'ADJ': 1}",quick,ADJ,1.0,quick,0,0,,0
2234,bad idea brian,0.0,0.0,0.0,0.0,0.0,0.0,bad idea brian,"[('bad', 'ADJ'), ('idea', 'NOUN'), ('brian', 'NOUN')]","{'ADJ': 1, 'NOUN': 2}",bad idea brian,ADJ NOUN NOUN,1.0,bad idea brian,0,0,,0
2235,From Russia with love. You the best.,0.0,0.0,0.0,0.0,0.0,0.0,From Russia with love. You the best.,"[('from', 'ADP'), ('Russia', 'PROPN'), ('with', 'ADP'), ('love', 'NOUN'), ('.', 'PUNCT'), ('you', 'PRON'), ('the', 'DET'), ('good', 'ADJ'), ('.', 'PUNCT')]","{'ADP': 2, 'PROPN': 1, 'NOUN': 1, 'PUNCT': 2, 'PRON': 1, 'DET': 1, 'ADJ': 1}",russia love good,PROPN NOUN ADJ,1.0,Russia love good,0,2,,0
2236,It's the red guy 😂,0.0,0.0,0.0,0.0,0.0,0.0,it is the red guy 😂,"[('it', 'PRON'), ('be', 'AUX'), ('the', 'DET'), ('red', 'ADJ'), ('guy', 'NOUN'), ('😂', 'EMOJI')]","{'PRON': 1, 'AUX': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1, 'EMOJI': 1}",red guy 😂,ADJ NOUN EMOJI,1.0,red guy,0,0,,0
2237,25k people holy cow,0.0,0.0,0.0,0.0,0.0,0.0,25k people holy cow,"[('25k', 'NUM'), ('people', 'NOUN'), ('holy', 'ADJ'), ('cow', 'NOUN')]","{'NUM': 1, 'NOUN': 2, 'ADJ': 1}",25k people holy cow,NUM NOUN ADJ NOUN,1.0,25k people holy cow,0,0,25k,1
2238,pink?,0.0,0.0,0.0,0.0,0.0,0.0,pink?,"[('pink', 'ADV'), ('?', 'PUNCT')]","{'ADV': 1, 'PUNCT': 1}",pink,ADV,1.0,pink,0,1,,0
2239,hey brian,0.0,0.0,0.0,0.0,0.0,0.0,hey brian,"[('hey', 'INTJ'), ('brian', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",hey brian,INTJ NOUN,1.0,hey brian,0,0,,0
2240,hey you didn't turn on slow chat,0.0,0.0,0.0,0.0,0.0,0.0,hey you did not turn on slow chat,"[('hey', 'INTJ'), ('you', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('turn', 'VERB'), ('on', 'ADP'), ('slow', 'ADJ'), ('chat', 'NOUN')]","{'INTJ': 1, 'PRON': 1, 'AUX': 1, 'PART': 1, 'VERB': 1, 'ADP': 1, 'ADJ': 1, 'NOUN': 1}",hey not turn slow chat,INTJ VERB ADJ NOUN,1.0,hey turn slow chat,0,0,,0
2241,a,0.0,0.0,0.0,0.0,0.0,0.0,a,"[('a', 'DET')]",{'DET': 1},,,1.0,,0,0,,0
2242,Hi Brian,0.0,0.0,0.0,0.0,0.0,0.0,Hi Brian,"[('hi', 'INTJ'), ('Brian', 'PROPN')]","{'INTJ': 1, 'PROPN': 1}",hi brian,INTJ PROPN,1.0,hi Brian,0,0,,0
2243,Yooo,0.0,0.0,0.0,0.0,0.0,0.0,Yooo,"[('Yooo', 'PROPN')]",{'PROPN': 1},yooo,PROPN,1.0,Yooo,0,0,yooo,1
2244,rip mod relaxation,0.0,0.0,0.0,0.0,0.0,0.0,rip mod relaxation,"[('rip', 'VERB'), ('mod', 'NOUN'), ('relaxation', 'NOUN')]","{'VERB': 1, 'NOUN': 2}",rip mod relaxation,VERB NOUN NOUN,1.0,rip mod relaxation,0,0,,0
2245,it’s noah,0.0,0.0,0.0,0.0,0.0,0.0,it is noah,"[('it', 'PRON'), ('be', 'AUX'), ('noah', 'PROPN')]","{'PRON': 1, 'AUX': 1, 'PROPN': 1}",’s noah,PROPN,1.0,noah,0,0,,0
2246,nice,0.0,0.0,0.0,0.0,0.0,0.0,nice,"[('nice', 'ADJ')]",{'ADJ': 1},nice,ADJ,1.0,nice,0,0,,0
2247,deep,0.0,0.0,0.0,0.0,0.0,0.0,deep,"[('deep', 'ADV')]",{'ADV': 1},deep,ADV,1.0,deep,0,0,,0
2248,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
2249,it's not nogla,0.0,0.0,0.0,0.0,0.0,0.0,it is not nogla,"[('it', 'PRON'), ('be', 'AUX'), ('not', 'PART'), ('nogla', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'ADJ': 1}",not nogla,ADJ,1.0,nogla,0,0,nogla,1
2250,yellow kinda sus,0.0,0.0,0.0,0.0,0.0,0.0,yellow kind of sus,"[('yellow', 'ADJ'), ('kind', 'NOUN'), ('of', 'ADP'), ('sus', 'NOUN')]","{'ADJ': 1, 'NOUN': 2, 'ADP': 1}",yellow kinda sus,ADJ NOUN NOUN,1.0,yellow kind sus,0,0,,0
2251,hi guys,0.0,0.0,0.0,0.0,0.0,0.0,hi guys,"[('hi', 'INTJ'), ('guy', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",hi guy,INTJ NOUN,1.0,hi guy,0,0,,0
2252,10,0.0,0.0,0.0,0.0,0.0,0.0,10,"[('10', 'NUM')]",{'NUM': 1},10,NUM,1.0,10,0,0,,0
2253,vooooo,0.0,0.0,0.0,0.0,0.0,0.0,vooooo,"[('vooooo', 'PROPN')]",{'PROPN': 1},vooooo,PROPN,1.0,vooooo,0,0,vooooo,1
2254,yes,0.0,0.0,0.0,0.0,0.0,0.0,yes,"[('yes', 'INTJ')]",{'INTJ': 1},yes,INTJ,1.0,yes,0,0,,0
2255,"heyyyy briannnn, i love uuuu😊 i believe you are the most underrated person in the friend group",0.0,0.0,0.0,0.0,0.0,0.0,"heyyyy briannnn, i love uuuu😊 i believe you are the most underrated person in the friend group","[('heyyyy', 'PROPN'), ('briannnn', 'NOUN'), (',', 'PUNCT'), ('I', 'PRON'), ('love', 'VERB'), ('uuuu', 'VERB'), ('😊', 'EMOJI'), ('I', 'PRON'), ('believe', 'VERB'), ('you', 'PRON'), ('be', 'AUX'), ('the', 'DET'), ('most', 'ADV'), ('underrated', 'ADJ'), ('person', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('friend', 'NOUN'), ('group', 'NOUN')]","{'PROPN': 1, 'NOUN': 4, 'PUNCT': 1, 'PRON': 3, 'VERB': 3, 'EMOJI': 1, 'AUX': 1, 'DET': 2, 'ADV': 1, 'ADJ': 1, 'ADP': 1}",heyyyy briannnn love uuuu 😊 believe most underrated person friend group,PROPN NOUN PRON VERB VERB EMOJI PRON VERB ADJ NOUN NOUN NOUN,1.0,heyyyy briannnn love uuuu believe underrated person friend group,0,1,heyyyy briannnn uuuu underrated,4
2256,lol nogla,0.0,0.0,0.0,0.0,0.0,0.0,lol nogla,"[('lol', 'PROPN'), ('nogla', 'PROPN')]",{'PROPN': 2},lol nogla,PROPN PROPN,1.0,lol nogla,0,0,nogla,1
2257,:_terroriserRIP::_terroriserRIP::_terroriserRIP::_terroriserRIP:,0.0,0.0,0.0,0.0,0.0,0.0,:_terroriserRIP::_terroriserRIP::_terroriserRIP::_terroriserRIP:,"[(':', 'PUNCT'), ('_', 'PROPN'), ('terroriserrip::_terroriserrip::_terroriserrip::_terroriserrip', 'NOUN'), (':', 'PUNCT')]","{'PUNCT': 2, 'PROPN': 1, 'NOUN': 1}",terroriserrip::_terroriserrip::_terroriserrip::_terroriserrip,PROPN NOUN,1.0,terroriserrip::_terroriserrip::_terroriserrip::_terroriserrip,0,12,terroriserrip::_terroriserrip::_terroriserrip::_terroriserrip,1
2258,I play among us too,0.0,0.0,0.0,0.0,0.0,0.0,I play among us too,"[('I', 'PRON'), ('play', 'VERB'), ('among', 'ADP'), ('we', 'PRON'), ('too', 'ADV')]","{'PRON': 2, 'VERB': 1, 'ADP': 1, 'ADV': 1}",play too,PRON VERB ADP,1.0,play among,1,0,,0
2259,xbox or ps4,0.0,0.0,0.0,0.0,0.0,0.0,xbox or ps4,"[('xbox', 'PROPN'), ('or', 'CCONJ'), ('ps4', 'NOUN')]","{'PROPN': 1, 'CCONJ': 1, 'NOUN': 1}",xbox ps4,PROPN NOUN,1.0,xbox ps4,0,0,ps4,1
2260,hi,0.0,0.0,0.0,0.0,0.0,0.0,hi,"[('hi', 'INTJ')]",{'INTJ': 1},hi,INTJ,1.0,hi,0,0,,0
2261,noah 100% possibly,0.0,0.0,0.0,0.0,0.0,0.0,noah 100% possibly,"[('noah', 'PROPN'), ('100', 'NUM'), ('%', 'NOUN'), ('possibly', 'ADV')]","{'PROPN': 1, 'NUM': 1, 'NOUN': 1, 'ADV': 1}",noah 100 possibly,PROPN NUM NOUN ADV,1.0,noah 100 possibly,0,1,,0
2262,LOLL FUCK BRODIE,0.0,0.0,0.0,0.0,0.0,0.0,LOLL FUCK BRODIE,"[('LOLL', 'PROPN'), ('fuck', 'ADJ'), ('BRODIE', 'PROPN')]","{'PROPN': 2, 'ADJ': 1}",loll fuck brodie,PROPN ADJ PROPN,1.0,LOLL fuck BRODIE,3,0,loll brodie,2
2263,Remember don’t ruin the game!,0.0,0.0,0.0,0.0,0.0,0.0,Remember do not ruin the game!,"[('remember', 'VERB'), ('do', 'AUX'), ('not', 'PART'), ('ruin', 'VERB'), ('the', 'DET'), ('game', 'NOUN'), ('!', 'PUNCT')]","{'VERB': 2, 'AUX': 1, 'PART': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",remember n’t ruin game,VERB VERB NOUN,1.0,remember ruin game,0,1,,0
2264,its nogla,0.0,0.0,0.0,0.0,0.0,0.0,its nogla,"[('its', 'PRON'), ('nogla', 'NOUN')]","{'PRON': 1, 'NOUN': 1}",nogla,NOUN,1.0,nogla,0,0,nogla,1
2265,man i need to nogla and Terroriser to Pax west one year and have them judge an Among Us showdown,0.0,0.0,0.0,0.0,0.0,0.0,man i need to nogla and Terroriser to Pax west one year and have them judge an Among Us showdown,"[('man', 'NOUN'), ('I', 'PRON'), ('need', 'VERB'), ('to', 'PART'), ('nogla', 'PROPN'), ('and', 'CCONJ'), ('terroris', 'ADJ'), ('to', 'ADP'), ('Pax', 'PROPN'), ('west', 'NOUN'), ('one', 'NUM'), ('year', 'NOUN'), ('and', 'CCONJ'), ('have', 'VERB'), ('they', 'PRON'), ('judge', 'VERB'), ('an', 'DET'), ('Among', 'PROPN'), ('Us', 'PROPN'), ('showdown', 'ADJ')]","{'NOUN': 3, 'PRON': 2, 'VERB': 3, 'PART': 1, 'PROPN': 4, 'CCONJ': 2, 'ADJ': 2, 'ADP': 1, 'NUM': 1, 'DET': 1}",man need to nogla terroris pax west one year have judge among us showdown,NOUN PRON VERB PROPN ADJ PROPN NOUN NUM NOUN VERB PROPN PROPN ADJ,1.0,man need nogla terroris Pax west one year judge Among Us showdown,0,0,nogla terroris,2
2266,it's nogla,0.0,0.0,0.0,0.0,0.0,0.0,it is nogla,"[('it', 'PRON'), ('be', 'AUX'), ('nogla', 'ADJ')]","{'PRON': 1, 'AUX': 1, 'ADJ': 1}",nogla,ADJ,1.0,nogla,0,0,nogla,1
2267,i think its lazar,0.0,0.0,0.0,0.0,0.0,0.0,i think its lazar,"[('I', 'PRON'), ('think', 'VERB'), ('its', 'PRON'), ('lazar', 'NOUN')]","{'PRON': 2, 'VERB': 1, 'NOUN': 1}",think lazar,PRON VERB NOUN,1.0,think lazar,0,0,lazar,1
2268,how did we lose 1k viewers with turning members only off hahaha,0.0,0.0,0.0,0.0,0.0,0.0,how did we lose 1k viewers with turning members only off hahaha,"[('how', 'ADV'), ('do', 'AUX'), ('we', 'PRON'), ('lose', 'VERB'), ('1k', 'NUM'), ('viewer', 'NOUN'), ('with', 'ADP'), ('turn', 'VERB'), ('member', 'NOUN'), ('only', 'ADV'), ('off', 'ADP'), ('hahaha', 'NOUN')]","{'ADV': 2, 'AUX': 1, 'PRON': 1, 'VERB': 2, 'NUM': 1, 'NOUN': 3, 'ADP': 2}",how lose 1k viewer turn member only hahaha,VERB NUM NOUN VERB NOUN NOUN,1.0,lose 1k viewer turn member hahaha,0,0,1k hahaha,2
2269,This is why they do member only chat... why would you comment to say hi...,0.0,0.0,0.0,0.0,0.0,0.0,This is why they do member only chat... why would you comment to say hi...,"[('this', 'DET'), ('be', 'AUX'), ('why', 'ADV'), ('they', 'PRON'), ('do', 'VERB'), ('member', 'NOUN'), ('only', 'ADV'), ('chat', 'VERB'), ('...', 'PUNCT'), ('why', 'ADV'), ('would', 'AUX'), ('you', 'PRON'), ('comment', 'VERB'), ('to', 'PART'), ('say', 'VERB'), ('hi', 'INTJ'), ('...', 'PUNCT')]","{'DET': 1, 'AUX': 2, 'ADV': 3, 'PRON': 2, 'VERB': 4, 'NOUN': 1, 'PUNCT': 2, 'PART': 1, 'INTJ': 1}",why do member only chat ... why comment to say hi ...,NOUN VERB VERB VERB INTJ,1.0,member chat ... would comment say hi ...,0,6,,0
2270,:yt:,0.0,0.0,0.0,0.0,0.0,0.0,:yt:,"[(':', 'PUNCT'), ('yt', 'PROPN'), (':', 'PUNCT')]","{'PUNCT': 2, 'PROPN': 1}",yt,PROPN,1.0,yt,0,2,yt,1
2271,DONT STREAM SNIPE,0.0,0.0,0.0,0.0,0.0,0.0,do not STREAM SNIPE,"[('do', 'AUX'), ('not', 'PART'), ('stream', 'VERB'), ('SNIPE', 'PROPN')]","{'AUX': 1, 'PART': 1, 'VERB': 1, 'PROPN': 1}",dont stream snipe,VERB PROPN,1.0,stream SNIPE,3,0,snipe,1
2272,YES SAFE,0.0,0.0,0.0,0.0,0.0,0.0,YES SAFE,"[('yes', 'INTJ'), ('safe', 'NOUN')]","{'INTJ': 1, 'NOUN': 1}",yes safe,INTJ NOUN,1.0,yes safe,2,0,,0
2273,Don’t steal cheat man. It’s Nogla for content only,0.0,0.0,0.0,0.0,0.0,0.0,do not steal cheat man. it is Nogla for content only,"[('do', 'AUX'), ('not', 'PART'), ('steal', 'VERB'), ('cheat', 'NOUN'), ('man', 'NOUN'), ('.', 'PUNCT'), ('it', 'PRON'), ('be', 'AUX'), ('Nogla', 'PROPN'), ('for', 'ADP'), ('content', 'NOUN'), ('only', 'ADV')]","{'AUX': 2, 'PART': 1, 'VERB': 1, 'NOUN': 3, 'PUNCT': 1, 'PRON': 1, 'PROPN': 1, 'ADP': 1, 'ADV': 1}",n’t steal cheat man ’ nogla content only,VERB NOUN NOUN PROPN NOUN,1.0,steal cheat man Nogla content,0,1,nogla,1
2274,Don’t ruin the game!!!,0.0,0.0,0.0,0.0,0.0,0.0,do not ruin the game!!!,"[('do', 'AUX'), ('not', 'PART'), ('ruin', 'VERB'), ('the', 'DET'), ('game', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'AUX': 1, 'PART': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 3}",n’t ruin game,VERB NOUN,1.0,ruin game,0,3,,0
2275,Noah getting killed off early again 🌝,0.0,0.0,0.0,0.0,0.0,0.0,Noah getting killed off early again 🌝,"[('Noah', 'PROPN'), ('getting', 'AUX'), ('kill', 'VERB'), ('off', 'ADP'), ('early', 'ADV'), ('again', 'ADV'), ('🌝', 'EMOJI')]","{'PROPN': 1, 'AUX': 1, 'VERB': 1, 'ADP': 1, 'ADV': 2, 'EMOJI': 1}",noah kill early again 🌝,PROPN VERB ADV EMOJI,1.0,Noah getting kill early,0,0,,0
2276,Ayeeee i love the irish,0.0,0.0,0.0,0.0,0.0,0.0,Ayeeee i love the irish,"[('ayeeee', 'NOUN'), ('I', 'PRON'), ('love', 'VERB'), ('the', 'DET'), ('irish', 'ADJ')]","{'NOUN': 1, 'PRON': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1}",ayeeee love irish,NOUN PRON VERB ADJ,1.0,ayeeee love irish,0,0,ayeeee,1
2277,Love the stream,0.0,0.0,0.0,0.0,0.0,0.0,Love the stream,"[('love', 'VERB'), ('the', 'DET'), ('stream', 'NOUN')]","{'VERB': 1, 'DET': 1, 'NOUN': 1}",love stream,VERB NOUN,1.0,love stream,0,0,,0
2278,good day,0.0,0.0,0.0,0.0,0.0,0.0,good day,"[('good', 'ADJ'), ('day', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",good day,ADJ NOUN,1.0,good day,0,0,,0
2279,RIP Noah,0.0,0.0,0.0,0.0,0.0,0.0,RIP Noah,"[('RIP', 'PROPN'), ('Noah', 'PROPN')]",{'PROPN': 2},rip noah,PROPN PROPN,1.0,RIP Noah,1,0,,0
2280,Lol,0.0,0.0,0.0,0.0,0.0,0.0,Lol,"[('Lol', 'PROPN')]",{'PROPN': 1},lol,PROPN,1.0,Lol,0,0,,0
2281,tell them that you have medbay,0.0,0.0,0.0,0.0,0.0,0.0,tell them that you have medbay,"[('tell', 'VERB'), ('they', 'PRON'), ('that', 'SCONJ'), ('you', 'PRON'), ('have', 'VERB'), ('medbay', 'PROPN')]","{'VERB': 2, 'PRON': 2, 'SCONJ': 1, 'PROPN': 1}",tell have medbay,VERB PROPN,1.0,tell medbay,0,0,medbay,1
2282,Please go back to members only!,0.0,0.0,0.0,0.0,0.0,0.0,Please go back to members only!,"[('please', 'INTJ'), ('go', 'VERB'), ('back', 'ADV'), ('to', 'ADP'), ('member', 'NOUN'), ('only', 'ADV'), ('!', 'PUNCT')]","{'INTJ': 1, 'VERB': 1, 'ADV': 2, 'ADP': 1, 'NOUN': 1, 'PUNCT': 1}",please go back member only,INTJ VERB ADV NOUN,1.0,please go back member,0,1,,0
2283,It's PINK,0.0,0.0,0.0,0.0,0.0,0.0,it is PINK,"[('it', 'PRON'), ('be', 'AUX'), ('PINK', 'PROPN')]","{'PRON': 1, 'AUX': 1, 'PROPN': 1}",pink,PROPN,1.0,PINK,1,0,,0
2284,he say ahahahahahahah,0.0,0.0,0.0,0.0,0.0,0.0,he say ahahahahahahah,"[('he', 'PRON'), ('say', 'VERB'), ('ahahahahahahah', 'INTJ')]","{'PRON': 1, 'VERB': 1, 'INTJ': 1}",say ahahahahahahah,VERB INTJ,1.0,say ahahahahahahah,0,0,ahahahahahahah,1
2285,We’re wiledcat,0.0,0.0,0.0,0.0,0.0,0.0,we are wiledcat,"[('we', 'PRON'), ('be', 'AUX'), ('wiledcat', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'NOUN': 1}",’re wiledcat,NOUN,1.0,wiledcat,0,0,wiledcat,1
2286,nogla was a little to silent,0.0,0.0,0.0,0.0,0.0,0.0,nogla was a little to silent,"[('nogla', 'PROPN'), ('be', 'AUX'), ('a', 'DET'), ('little', 'ADJ'), ('to', 'AUX'), ('silent', 'ADJ')]","{'PROPN': 1, 'AUX': 2, 'DET': 1, 'ADJ': 2}",nogla little silent,PROPN ADJ ADJ,1.0,nogla little silent,0,0,nogla,1
2287,.,0.0,0.0,0.0,0.0,0.0,0.0,.,"[('.', 'PUNCT')]",{'PUNCT': 1},,,1.0,,0,1,,0
2288,no,0.0,0.0,0.0,0.0,0.0,0.0,no,"[('no', 'INTJ')]",{'INTJ': 1},no,,1.0,,0,0,,0
2289,oh i can talk,0.0,0.0,0.0,0.0,0.0,0.0,oh i can talk,"[('oh', 'INTJ'), ('I', 'PRON'), ('can', 'AUX'), ('talk', 'VERB')]","{'INTJ': 1, 'PRON': 1, 'AUX': 1, 'VERB': 1}",oh talk,INTJ PRON VERB,1.0,oh talk,0,0,,0
2290,i love ur vids terroriser,0.0,0.0,0.0,0.0,0.0,0.0,i love ur vids terroriser,"[('I', 'PRON'), ('love', 'VERB'), ('ur', 'PROPN'), ('vid', 'NOUN'), ('terroriser', 'ADV')]","{'PRON': 1, 'VERB': 1, 'PROPN': 1, 'NOUN': 1, 'ADV': 1}",love ur vid terroriser,PRON VERB PROPN NOUN ADV,1.0,love ur vid terroriser,0,0,ur terroriser,2
2291,IM MEMER MAN,0.0,0.0,0.0,0.0,0.0,0.0,I am MEMER MAN,"[('I', 'PRON'), ('be', 'AUX'), ('MEMER', 'PROPN'), ('MAN', 'PROPN')]","{'PRON': 1, 'AUX': 1, 'PROPN': 2}",im memer man,PRON PROPN PROPN,1.0,MEMER MAN,3,0,memer,1
2292,more mario when your finished with this?,0.0,0.0,0.0,0.0,0.0,0.0,more mario when your finished with this?,"[('more', 'ADJ'), ('mario', 'NOUN'), ('when', 'ADV'), ('your', 'PRON'), ('finish', 'VERB'), ('with', 'ADP'), ('this', 'DET'), ('?', 'PUNCT')]","{'ADJ': 1, 'NOUN': 1, 'ADV': 1, 'PRON': 1, 'VERB': 1, 'ADP': 1, 'DET': 1, 'PUNCT': 1}",more mario when finish,NOUN VERB,1.0,mario finish,0,1,,0
2293,"@Gabriel Petri relax, just watch the content",0.0,0.0,0.0,0.0,0.0,0.0,"@Gabriel Petri relax, just watch the content","[('@Gabriel', 'PROPN'), ('Petri', 'PROPN'), ('relax', 'VERB'), (',', 'PUNCT'), ('just', 'ADV'), ('watch', 'VERB'), ('the', 'DET'), ('content', 'NOUN')]","{'PROPN': 2, 'VERB': 2, 'PUNCT': 1, 'ADV': 1, 'DET': 1, 'NOUN': 1}",@gabriel petri relax just watch content,PROPN PROPN VERB VERB NOUN,1.0,@Gabriel Petri relax watch content,0,2,@gabriel petri,2
2294,oh no bad idea,0.0,0.0,0.0,0.0,0.0,0.0,oh no bad idea,"[('oh', 'INTJ'), ('no', 'DET'), ('bad', 'ADJ'), ('idea', 'NOUN')]","{'INTJ': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1}",oh bad idea,INTJ ADJ NOUN,1.0,oh bad idea,0,0,,0
2295,Lmao to the people that thought I was serious,0.0,0.0,0.0,0.0,0.0,0.0,Lmao to the people that thought I was serious,"[('Lmao', 'PROPN'), ('to', 'ADP'), ('the', 'DET'), ('people', 'NOUN'), ('that', 'DET'), ('think', 'VERB'), ('I', 'PRON'), ('be', 'AUX'), ('serious', 'ADJ')]","{'PROPN': 1, 'ADP': 1, 'DET': 2, 'NOUN': 1, 'VERB': 1, 'PRON': 1, 'AUX': 1, 'ADJ': 1}",lmao people think serious,PROPN NOUN VERB PRON ADJ,1.0,Lmao people think serious,1,0,lmao,1
2296,Why the fuck are yall stream hopping for lol.,0.0,0.0,0.0,0.0,0.0,1.0,Why the fuck are you all stream hopping for lol.,"[('why', 'ADV'), ('the', 'DET'), ('fuck', 'NOUN'), ('be', 'AUX'), ('you', 'PRON'), ('all', 'DET'), ('stream', 'VERB'), ('hop', 'VERB'), ('for', 'ADP'), ('lol', 'NOUN'), ('.', 'PUNCT')]","{'ADV': 1, 'DET': 2, 'NOUN': 2, 'AUX': 1, 'PRON': 1, 'VERB': 2, 'ADP': 1, 'PUNCT': 1}",why fuck stream hop lol,NOUN VERB VERB NOUN,0.0,fuck stream hop lol,0,1,,0
2297,People! STOP FUCKING RUINING THE FUCKING GAME FOR EVERYONE,0.0,0.0,0.0,0.0,0.0,0.0,People! STOP FUCKING RUINING THE FUCKING GAME FOR EVERYONE,"[('People', 'NOUN'), ('!', 'PUNCT'), ('stop', 'VERB'), ('fucking', 'INTJ'), ('ruin', 'VERB'), ('the', 'DET'), ('FUCKING', 'PROPN'), ('game', 'NOUN'), ('for', 'ADP'), ('everyone', 'PRON')]","{'NOUN': 2, 'PUNCT': 1, 'VERB': 2, 'INTJ': 1, 'DET': 1, 'PROPN': 1, 'ADP': 1, 'PRON': 1}",people stop fucking ruin fucking game,NOUN VERB INTJ VERB PROPN NOUN PRON,1.0,People stop fucking ruin FUCKING game everyone,8,1,,0
2298,Crush the leaves,0.0,0.0,0.0,0.0,0.0,0.0,Crush the leaves,"[('crush', 'VERB'), ('the', 'DET'), ('leave', 'NOUN')]","{'VERB': 1, 'DET': 1, 'NOUN': 1}",crush leave,VERB NOUN,1.0,crush leave,0,0,,0
